publication	stimuli	pair	acoustic_cue	dur	sd	note	voicing	N
Port_Odell_1985	Alb	1	preceding vowel duration in ms	26.8	3.4	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	Alb	1	closure voicing	1.9	1.7	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	Alb	1	closure duration	13.3	4.4	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	Alb	1	aspiration	1	1.1	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	Alp	1	preceding vowel duration in ms	25.8	4.1	pooled across speakers, sds are based on differences in speaker means?	voiceless	10
Port_Odell_1985	Alp	1	closure voicing	1.4	1.4	pooled across speakers, sds are based on differences in speaker means?	voiceless	10
Port_Odell_1985	Alp	1	closure duration	13.6	3.9	pooled across speakers, sds are based on differences in speaker means?	voiceless	10
Port_Odell_1985	Alp	1	aspiration	2.3	2.5	pooled across speakers, sds are based on differences in speaker means?	voiceless	10
Port_Odell_1985	Bad	2	preceding vowel duration in ms	30.5	7.7	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	Bad	2	closure voicing	1.7	1.5	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	Bad	2	closure duration	9.8	2.6	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	Bad	2	aspiration	4.3	2.5	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	barg	3	preceding vowel duration in ms	30.6	7.3	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	barg	3	closure voicing	1.6	2	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	barg	3	closure duration	9.9	3.9	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	barg	3	aspiration	1.8	1.5	pooled across speakers, sds are based on differences in speaker means?	voiced	10
Port_Odell_1985	Bark	3	preceding vowel duration in ms	29.1	4.7	pooled across speakers, sds are based on differences in speaker means?	voiceless	10
