"","Attentional_load","Subjectnumber","Day","Pupilsize_leftright_averaged"
"61",1,"601",1,3.77677471055539
"62",1,"601",2,1.75104602305176
"63",1,"601",3,4.15271206052961
"64",1,"602",1,2.60019482126286
"65",1,"602",2,7.51093460679193
"66",1,"602",3,8.21685683920956
"67",1,"603",1,11.6568485490057
"68",1,"603",2,1.45000222658465
"69",1,"603",3,3.36597749661491
"70",1,"604",1,0.425176089443842
"71",1,"604",2,4.06361227329877
"72",1,"604",3,3.65841750321345
"73",1,"605",1,0.25555688896665
"74",1,"605",2,-1.43410155813922
"75",1,"605",3,-2.61324392593232
"76",1,"606",1,-2.02556898061089
"77",1,"606",2,-0.387067760949513
"78",1,"606",3,3.48086448286563
"79",1,"607",1,1.52809663200036
"80",1,"607",2,2.05946709784846
"81",1,"607",3,5.20393966401706
"82",1,"608",1,5.13095837374666
"83",1,"608",2,-3.81228291472516
"84",1,"608",3,2.69670070433954
"85",1,"609",1,7.2691997405663
"86",1,"609",2,8.40920219427144
"87",1,"609",3,7.19389641381622
"88",1,"610",1,2.78740182863209
"89",1,"610",2,2.80577014834799
"90",1,"610",3,5.6917301720349
"91",1,"611",1,3.26072601364952
"92",1,"611",2,2.67262467961824
"93",1,"611",3,2.26093333170747
"94",1,"612",1,5.04847495427308
"95",1,"612",2,5.18733799013469
"96",1,"612",3,-0.348808370620327
"97",1,"613",1,5.08856909574119
"98",1,"613",2,0.385605814513115
"99",1,"613",3,5.73570687864858
"100",1,"614",1,-1.67265975133425
"101",1,"614",2,-1.23717051997829
"102",1,"614",3,1.20056258206675
"103",1,"615",1,0.773415322874758
"104",1,"615",2,-1.09626607475984
"105",1,"615",3,1.83653414829057
"106",1,"616",1,-0.330617191377031
"107",1,"616",2,-1.24066211255825
"108",1,"616",3,-2.68676315538205
"109",1,"617",1,6.00971503751582
"110",1,"617",2,6.58319007188779
"111",1,"617",3,2.44489299146896
"112",1,"618",1,-0.55030233998983
"113",1,"618",2,1.95529592583084
"114",1,"618",3,-4.62477316888576
"115",1,"619",1,6.33658596019152
"116",1,"619",2,3.64676173499703
"117",1,"619",3,1.94733308189044
"118",1,"620",1,-1.60755376012281
"119",1,"620",2,-0.259491409598743
"120",1,"620",3,-3.010948027111
"121",2,"601",1,2.28103368801507
"122",2,"601",2,1.38410388402293
"123",2,"601",3,1.94970704409559
"124",2,"602",1,7.13867417009141
"125",2,"602",2,4.36170277108104
"126",2,"602",3,7.68017568910924
"127",2,"603",1,10.9735707795601
"128",2,"603",2,4.35016307962506
"129",2,"603",3,4.1109019168817
"130",2,"604",1,7.65930212032391
"131",2,"604",2,8.12871760061247
"132",2,"604",3,6.36649200197049
"133",2,"605",1,1.51334016731968
"134",2,"605",2,-0.0464280485230465
"135",2,"605",3,-1.96165414950062
"136",2,"606",1,-0.704095782972761
"137",2,"606",2,0.0822318230730946
"138",2,"606",3,2.83062932730127
"139",2,"607",1,3.44795941415903
"140",2,"607",2,3.26865208409956
"141",2,"607",3,4.48070499069016
"142",2,"608",1,6.83764987757568
"143",2,"608",2,2.39937378834737
"144",2,"608",3,2.48681901794084
"145",2,"609",1,12.8633328073334
"146",2,"609",2,9.74604004166682
"147",2,"609",3,4.0873318800032
"148",2,"610",1,6.18074409947025
"149",2,"610",2,4.39828557126141
"150",2,"610",3,6.37156517949758
"151",2,"611",1,3.11200658933597
"152",2,"611",2,5.15332788258769
"153",2,"611",3,4.57561268120781
"154",2,"612",1,5.68774567796176
"155",2,"612",2,5.78553924557915
"156",2,"612",3,0.526123056956879
"157",2,"613",1,9.25620526871897
"158",2,"613",2,3.93214655555664
"159",2,"613",3,5.65301178378405
"160",2,"614",1,-3.43484214383522
"161",2,"614",2,-0.297587772184695
"162",2,"614",3,0.547559309245158
"163",2,"615",1,1.72392914098802
"164",2,"615",2,1.82947811127389
"165",2,"615",3,1.33405111732486
"166",2,"616",1,2.04546285143213
"167",2,"616",2,2.5207091112929
"168",2,"616",3,1.36484136449495
"169",2,"617",1,11.8116403470093
"170",2,"617",2,14.4949535607209
"171",2,"617",3,2.02923289376314
"172",2,"618",1,-0.193910750927271
"173",2,"618",2,0.00516693444290695
"174",2,"618",3,-1.77738942416065
"175",2,"619",1,5.96366593044645
"176",2,"619",2,4.11490613620849
"177",2,"619",3,0.947684889327838
"178",2,"620",1,-2.07646047618385
"179",2,"620",2,2.27923660111773
"180",2,"620",3,-3.67622350851117
"181",3,"601",1,5.40354450301161
"182",3,"601",2,2.84296750655972
"183",3,"601",3,-0.876570756759838
"184",3,"602",1,8.22422032912776
"185",3,"602",2,10.2685794488392
"186",3,"602",3,7.91021628684361
"187",3,"603",1,9.02896332025906
"188",3,"603",2,2.97507005076253
"189",3,"603",3,7.65606586213169
"190",3,"604",1,8.25354952446316
"191",3,"604",2,11.9744005471815
"192",3,"604",3,10.9802554572578
"193",3,"605",1,3.06952252787873
"194",3,"605",2,1.51770682304515
"195",3,"605",3,0.826946471821925
"196",3,"606",1,1.71533361118477
"197",3,"606",2,0.416955006427855
"198",3,"606",3,2.60182685654474
"199",3,"607",1,5.45814456416467
"200",3,"607",2,3.09903416053811
"201",3,"607",3,7.52671514072599
"202",3,"608",1,9.25851846328525
"203",3,"608",2,3.23189270754337
"204",3,"608",3,5.01385450182198
"205",3,"609",1,13.4730238820296
"206",3,"609",2,16.0656502922763
"207",3,"609",3,10.7849108467428
"208",3,"610",1,8.2906772451611
"209",3,"610",2,4.47100640864148
"210",3,"610",3,7.40388933854347
"211",3,"611",1,4.73828635156353
"212",3,"611",2,4.68826974158412
"213",3,"611",3,4.09134395208427
"214",3,"612",1,8.7738732140828
"215",3,"612",2,7.87356344063888
"216",3,"612",3,5.92699336867778
"217",3,"613",1,8.42726812650734
"218",3,"613",2,2.00361880708062
"219",3,"613",3,11.3275095368864
"220",3,"614",1,-2.41174929901498
"221",3,"614",2,0.155167204705918
"222",3,"614",3,0.293095973152602
"223",3,"615",1,3.41703784538267
"224",3,"615",2,1.63152848311193
"225",3,"615",3,3.37580435310239
"226",3,"616",1,3.48681620209396
"227",3,"616",2,3.01565033383918
"228",3,"616",3,-1.24261740721771
"229",3,"617",1,10.936619049964
"230",3,"617",2,18.2791517361978
"231",3,"617",3,8.33049222924707
"232",3,"618",1,0.121101279125126
"233",3,"618",2,4.02444171657227
"234",3,"618",3,5.65733643352126
"235",3,"619",1,9.42189060216865
"236",3,"619",2,5.91430174763509
"237",3,"619",3,5.72306565149657
"238",3,"620",1,0.554566923147994
"239",3,"620",2,1.41416517966322
"240",3,"620",3,-4.69169773817056
"241",4,"601",1,14.0161524322931
"242",4,"601",2,3.44366331025757
"243",4,"601",3,0.974596226192532
"244",4,"602",1,7.96478506382025
"245",4,"602",2,9.63390775687197
"246",4,"602",3,8.47405721855088
"247",4,"603",1,6.41304367668418
"248",4,"603",2,4.75077688759245
"249",4,"603",3,9.7625021162624
"250",4,"604",1,12.3641911540741
"251",4,"604",2,12.1790427320255
"252",4,"604",3,10.4862268764397
"253",4,"605",1,4.46557341206768
"254",4,"605",2,0.468836346171708
"255",4,"605",3,0.418623048949128
"256",4,"606",1,-0.549132844235018
"257",4,"606",2,2.07202232605169
"258",4,"606",3,4.03568270282731
"259",4,"607",1,7.69249375431693
"260",4,"607",2,4.03728599692687
"261",4,"607",3,7.35406242741926
"262",4,"608",1,8.20073439412483
"263",4,"608",2,1.23849010958838
"264",4,"608",3,4.29582787080014
"265",4,"609",1,13.1510854538704
"266",4,"609",2,21.3231719758447
"267",4,"609",3,10.1375064193425
"268",4,"610",1,6.81045607463767
"269",4,"610",2,6.18050013976102
"270",4,"610",3,6.93114716709172
"271",4,"611",1,5.95745386731114
"272",4,"611",2,5.30094354780058
"273",4,"611",3,7.8099687247775
"274",4,"612",1,14.9456047065728
"275",4,"612",2,7.68213225656948
"276",4,"612",3,6.62014120932396
"277",4,"613",1,8.11964027571019
"278",4,"613",2,1.77799995819256
"279",4,"613",3,12.1413450383323
"280",4,"614",1,1.15829479919918
"281",4,"614",2,-0.525875386718708
"282",4,"614",3,2.71182145471073
"283",4,"615",1,5.36396214640853
"284",4,"615",2,2.71324805349011
"285",4,"615",3,2.34878407287636
"286",4,"616",1,3.77636524366127
"287",4,"616",2,6.23868423760684
"288",4,"616",3,1.61595386342586
"289",4,"617",1,15.1153687591639
"290",4,"617",2,17.2971430800218
"291",4,"617",3,7.84081692575955
"292",4,"618",1,2.48661189179849
"293",4,"618",2,2.40669608847683
"294",4,"618",3,1.16084639960306
"295",4,"619",1,7.1935280973347
"296",4,"619",2,7.24799891466559
"297",4,"619",3,5.84334030257752
"298",4,"620",1,-1.24521090022406
"299",4,"620",2,0.953924867159342
"300",4,"620",3,-1.60632030992059
"301",5,"601",1,17.5090943506332
"302",5,"601",2,3.67695256000895
"303",5,"601",3,1.60731617926983
"304",5,"602",1,9.06247757472019
"305",5,"602",2,9.91271268617172
"306",5,"602",3,11.2431525195941
"307",5,"603",1,8.17812108895081
"308",5,"603",2,3.05789435006944
"309",5,"603",3,8.83894988003399
"310",5,"604",1,8.39846349181824
"311",5,"604",2,10.6651139520525
"312",5,"604",3,11.7653216366961
"313",5,"605",1,4.02218877497893
"314",5,"605",2,2.79329919799459
"315",5,"605",3,3.43188801904887
"316",5,"606",1,-1.11787553096991
"317",5,"606",2,2.07394788865464
"318",5,"606",3,1.44441278821152
"319",5,"607",1,5.87924323240502
"320",5,"607",2,4.27250403038818
"321",5,"607",3,5.70013012601949
"322",5,"608",1,9.38537840936759
"323",5,"608",2,3.98238970578712
"324",5,"608",3,0.945946627789709
"325",5,"609",1,13.9071712118372
"326",5,"609",2,19.0812331881995
"327",5,"609",3,10.8858286764577
"328",5,"610",1,8.40890554872193
"329",5,"610",2,4.45287607781033
"330",5,"610",3,8.06716528814502
"331",5,"611",1,8.11238620348213
"332",5,"611",2,7.12543516846217
"333",5,"611",3,6.8747679387969
"334",5,"612",1,14.5300056808735
"335",5,"612",2,10.0657329289648
"336",5,"612",3,9.57090757548667
"337",5,"613",1,11.5799071951418
"338",5,"613",2,4.84973856465385
"339",5,"613",3,12.6993714087517
"340",5,"614",1,0.173636493152536
"341",5,"614",2,1.42915512359297
"342",5,"614",3,2.57536298072079
"343",5,"615",1,5.62926815429227
"344",5,"615",2,4.68866592498739
"345",5,"615",3,5.04378087879715
"346",5,"616",1,6.72533986777792
"347",5,"616",2,4.97653247858372
"348",5,"616",3,4.45440223275684
"349",5,"617",1,11.9302962567577
"350",5,"617",2,16.0871380689235
"351",5,"617",3,8.0544738272973
"352",5,"618",1,0.486929538669418
"353",5,"618",2,4.32775150012043
"354",5,"618",3,-2.80768261540035
"355",5,"619",1,8.84306570372343
"356",5,"619",2,7.57397609249461
"357",5,"619",3,8.33484902598422
"358",5,"620",1,-2.35682154998851
"359",5,"620",2,2.10019550738241
"360",5,"620",3,-1.72111837479788
