QUE_BUTTON_RESP	QUE_BUTTON_RT	BLOCK_INDEX	TRIAL_INDEX	SENT_BUTTON_RESP	SENT_BUTTON_RT	exp	item	verbtype	nountype	pptype	determiner	subjnumber	quant	entailment	sent	compq	correctans	incorrectans	leftans	rightans	c_bal
Left	1000847.73	1	1	-1	 2338.64	Practice	5	NA	NA	NA	NA	NA	NA	NA	"It was the coffee mug that the student embarrassed."	"Did the student embarrass the coffee mug?"	Yes	No	No	Yes	1
Left	1007679.56	1	2	-1	 1964.96	Practice	1	NA	NA	NA	NA	NA	NA	NA	"On the table sat the unread books."	"Had the books been read?"	No	Yes	No	Yes	1
Right	1014038.83	1	3	-1	 1674.30	Practice	6	NA	NA	NA	NA	NA	NA	NA	"The printer is out of black toner."	"Was the black toner all used up?"	Yes	No	No	Yes	1
Left	1024328.59	1	4	-1	 5484.57	Practice	3	NA	NA	NA	NA	NA	NA	NA	"In the office the window screamed at the secretary."	"Did the secretary scream at the window?"	No	Yes	No	Yes	1
Right	1033014.85	1	5	-1	 2802.71	Practice	4	NA	NA	NA	NA	NA	NA	NA	"The beach was walking past the restaurant quickly."	"Did the beach move slowly?"	No	Yes	Yes	No	1
Left	1040583.48	1	6	-1	 3236.86	Practice	2	NA	NA	NA	NA	NA	NA	NA	"It was the soccer player that scored the goal."	"Did the soccer player score the goal?"	Yes	No	Yes	No	1
Left	1084792.67	2	7	-1	 5289.39	Hartshorne	10	NA	NA	NA	NA	NA	onlysome	DE	"If^ Sophia sang^ only some of^ the songs^ requested by her relatives,^ then^ the rest^ she'll sing tomorrow."	"Did Sophia's relatives request songs?"	Yes	No	Yes	No	1
Left	1094119.64	2	8	-1	 3827.52	Hartshorne	25	NA	NA	NA	NA	NA	some	UE	"Mark wished^ some of^ his classmates^ good cheer,^ and^ the rest^ will be miffed."	"Is Mark home-schooled?"	No	Yes	No	Yes	1
Left	1104392.80	2	9	-1	 5285.37	Hartshorne	41	NA	NA	NA	NA	NA	some	UE	"Sydney identified^ some of^ the suspects^ from the lineup to the police,^ and^ the rest^ will go free."	"Was this sentence about a police lineup?"	Yes	No	No	Yes	1
Left	1113128.45	2	10	-1	 2544.89	Enrich	1	event	event	NA	NA	NA	NA	NA	"The young boy^ started^ a fight^ and his mum found out."	"Was the boy young?"	Yes	No	Yes	No	1
