rt,trialn
141,1
138,2
128,3
132,4
126,5
134,6
163,7
149,8
133,9
110,10
111,11
145,12
173,13
165,14
141,15
132,16
125,17
134,18
157,19
166,20
163,21
165,22
165,23
165,24
173,25
165,26
173,27
158,28
140,29
139,30
142,31
140,32
133,33
143,34
140,35
136,36
134,37
146,38
165,39
157,40
156,41
149,42
124,43
141,44
141,45
165,46
157,47
150,48
140,49
157,50
164,51
166,52
162,53
173,54
182,55
190,56
187,57
172,58
164,59
164,60
142,61
164,62
141,63
148,64
149,65
140,66
157,67
158,68
139,69
146,70
148,71
149,72
151,73
165,74
148,75
152,76
150,77
167,78
156,79
133,80
161,81
152,82
165,83
165,84
179,85
181,86
189,87
189,88
205,89
199,90
170,91
173,92
189,93
213,94
198,95
179,96
180,97
206,98
195,99
188,100
180,101
188,102
214,103
178,104
168,105
157,106
157,107
157,108
147,109
165,110
157,111
147,112
158,113
181,114
189,115
198,116
180,117
189,118
196,119
194,120
172,121
157,122
141,123
137,124
156,125
148,126
152,127
145,128
156,129
148,130
157,131
181,132
189,133
173,134
164,135
172,136
149,137
172,138
165,139
149,140
173,141
172,142
148,143
157,144
150,145
147,146
165,147
156,148
165,149
165,150
172,151
165,152
168,153
181,154
164,155
156,156
164,157
157,158
142,159
185,160
172,161
165,162
165,163
149,164
126,165
156,166
188,167
189,168
181,169
172,170
168,171
163,172
159,173
153,174
156,175
149,176
172,177
156,178
165,179
149,180
164,181
173,182
179,183
188,184
183,185
161,186
157,187
146,188
143,189
154,190
156,191
149,192
139,193
157,194
174,195
157,196
158,197
166,198
184,199
197,200
164,201
188,202
156,203
164,204
165,205
175,206
170,207
154,208
173,209
188,210
141,211
157,212
173,213
192,214
188,215
181,216
197,217
173,218
190,219
204,220
212,221
221,222
181,223
181,224
156,225
180,226
182,227
187,228
204,229
173,230
175,231
177,232
180,233
284,234
117,235
148,236
157,237
140,238
164,239
172,240
197,241
166,242
163,243
166,244
165,245
139,246
141,247
163,248
165,249
173,250
166,251
180,252
147,253
157,254
181,255
189,256
204,257
184,258
168,259
189,260
183,261
165,262
165,263
189,264
206,265
201,266
212,267
189,268
173,269
168,270
206,271
195,272
197,273
181,274
192,275
173,276
181,277
182,278
148,279
155,280
141,281
173,282
204,283
181,284
213,285
205,286
181,287
174,288
174,289
153,290
164,291
204,292
165,293
175,294
185,295
171,296
173,297
167,298
168,299
172,300
173,301
188,302
204,303
192,304
181,305
180,306
173,307
149,308
175,309
409,310
133,311
173,312
205,313
260,314
173,315
182,316
172,317
166,318
154,319
174,320
179,321
166,322
188,323
247,324
153,325
149,326
157,327
180,328
167,329
192,330
172,331
173,332
180,333
180,334
172,335
172,336
158,337
155,338
165,339
157,340
165,341
165,342
177,343
188,344
197,345
182,346
188,347
161,348
150,349
146,350
156,351
181,352
191,353
179,354
186,355
214,356
182,357
179,358
177,359
183,360
162,361
