subject,item,condition,word_position,region_position,rawRT,residRT,qcorrect,experiment
1,1,objgap,1,1,326,-11.42,0,tedrg1
1,1,objgap,2,1,304,-53.29,0,tedrg1
1,1,objgap,3,2,286,-51.42,0,tedrg2
1,1,objgap,4,3,296,-41.42,0,tedrg2
1,1,objgap,5,3,284,-89.19,0,tedrg2
1,1,objgap,6,3,320,-21.39,0,tedrg3
1,1,objgap,7,4,343,9.56,0,tedrg3
1,1,objgap,8,4,333,-4.42,0,tedrg4
1,1,objgap,9,4,331,-18.34,0,tedrg4
1,1,objgap,11,5,386,48.58,0,tedrg5
1,1,objgap,12,5,408,58.66,0,tedrg6
1,1,objgap,13,5,464,126.58,0,tedrg6
1,1,objgap,14,6,334,4.53,0,tedrg7
1,1,objgap,15,6,477,135.61,0,tedrg7
1,1,objgap,16,6,550,200.66,0,tedrg7
1,2,subjgap,1,1,425,87.58,1,tedrg1
1,2,subjgap,2,1,341,-4.37,1,tedrg1
1,2,subjgap,3,2,371,33.58,1,tedrg2
1,2,subjgap,4,3,424,74.66,1,tedrg2
1,2,subjgap,5,3,408,70.58,1,tedrg3
1,2,subjgap,6,3,379,41.58,1,tedrg3
1,2,subjgap,7,4,409,67.61,1,tedrg4
1,2,subjgap,8,4,383,45.58,1,tedrg4
1,2,subjgap,9,4,367,21.63,1,tedrg4
1,2,subjgap,11,5,366,24.61,1,tedrg5
1,2,subjgap,12,5,367,29.58,1,tedrg6
1,2,subjgap,13,5,410,68.61,1,tedrg6
1,2,subjgap,14,6,450,92.71,1,tedrg7
1,3,objgap,1,1,367,29.58,0,tedrg1
1,3,objgap,2,1,300,-37.42,0,tedrg1
1,3,objgap,3,2,293,-44.42,0,tedrg2
1,3,objgap,4,3,315,-22.42,0,tedrg2
1,3,objgap,5,3,307,-34.39,0,tedrg2
1,3,objgap,6,3,309,-40.34,0,tedrg3
1,3,objgap,7,4,290,-51.39,0,tedrg3
1,3,objgap,8,4,304,-33.42,0,tedrg4
1,3,objgap,9,4,353,15.58,0,tedrg4
1,3,objgap,11,5,281,-56.42,0,tedrg5
1,3,objgap,12,5,308,-33.39,0,tedrg6
1,3,objgap,13,5,319,-38.29,0,tedrg6
1,3,objgap,14,6,334,-11.37,0,tedrg7
1,3,objgap,15,6,341,-16.29,0,tedrg7
1,3,objgap,16,6,327,-6.44,0,tedrg7
1,3,objgap,17,6,322,-15.42,0,tedrg7
1,3,objgap,18,6,518,148.78,0,tedrg7
1,4,subjgap,1,1,387,49.58,1,tedrg1
1,4,subjgap,2,1,275,-74.34,1,tedrg1
1,4,subjgap,3,2,300,-37.42,1,tedrg2
1,4,subjgap,4,3,274,-91.24,1,tedrg2
1,4,subjgap,5,3,311,-26.42,1,tedrg3
1,4,subjgap,6,3,285,-72.29,1,tedrg3
1,4,subjgap,7,4,352,18.56,1,tedrg4
1,4,subjgap,8,4,300,-37.42,1,tedrg4
1,4,subjgap,9,4,379,21.71,1,tedrg4
1,4,subjgap,11,5,402,64.58,1,tedrg5
1,4,subjgap,12,5,379,29.66,1,tedrg6
1,4,subjgap,13,5,401,67.56,1,tedrg6
1,4,subjgap,14,6,394,40.68,1,tedrg7
1,4,subjgap,15,6,409,75.56,1,tedrg7
1,4,subjgap,16,6,372,34.58,1,tedrg7
1,4,subjgap,17,6,450,92.71,1,tedrg7
1,4,subjgap,18,6,524,162.73,1,tedrg7
1,5,objgap,1,1,334,-3.42,1,tedrg1
1,5,objgap,2,1,266,-79.37,1,tedrg1
1,5,objgap,3,2,248,-89.42,1,tedrg2
1,5,objgap,4,3,278,-59.42,1,tedrg2
1,5,objgap,5,3,283,-66.34,1,tedrg2
1,5,objgap,6,3,333,-8.39,1,tedrg3
1,5,objgap,7,4,259,-74.44,1,tedrg3
1,5,objgap,8,4,334,-3.42,1,tedrg4
1,5,objgap,9,4,304,-53.29,1,tedrg4
1,5,objgap,11,5,371,33.58,1,tedrg5
1,5,objgap,12,5,360,6.68,1,tedrg6
1,5,objgap,13,5,368,22.63,1,tedrg6
1,5,objgap,14,6,402,64.58,1,tedrg7
1,5,objgap,15,6,600,230.78,1,tedrg7
1,6,subjgap,1,1,304,-33.42,1,tedrg1
1,6,subjgap,2,1,271,-78.34,1,tedrg1
