subject	segment	cloze	lab	item	n400
bris01	1	100	bris	119	9.53
bris01	2	90	bris	115	9.06
bris01	3	0	bris	114	16.76
bris01	4	3	bris	110	5.03
bris01	5	87	bris	111	-0.28
bris01	6	0	bris	105	-0.36
bris01	7	0	bris	117	7.63
bris01	8	93	bris	104	7.00
bris01	9	0	bris	113	7.90
bris01	10	100	bris	103	5.92
bris01	11	93	bris	116	7.03
bris01	12	0	bris	101	6.82
bris01	13	0	bris	106	5.73
bris01	14	80	bris	107	6.23
bris01	15	100	bris	112	5.77
bris01	16	3	bris	109	1.70
bris01	17	0	bris	118	-0.86
bris01	18	3	bris	102	-1.07
bris01	19	77	bris	136	-4.84
bris01	20	90	bris	129	3.36
bris01	21	30	bris	134	-6.68
bris01	22	93	bris	140	-0.97
bris01	23	0	bris	137	-7.34
bris01	24	3	bris	121	1.07
bris01	25	77	bris	131	6.35
bris01	26	17	bris	122	5.04
bris01	27	0	bris	133	3.84
bris01	28	27	bris	128	9.26
bris01	29	0	bris	130	5.67
bris01	30	93	bris	123	-1.13
bris01	31	0	bris	126	-2.50
bris01	32	80	bris	132	-0.47
bris01	33	0	bris	125	-2.83
bris01	34	97	bris	139	6.07
bris01	35	97	bris	135	5.22
bris01	36	93	bris	124	10.97
bris01	37	97	bris	127	5.21
bris01	38	93	bris	143	3.95
bris01	39	20	bris	146	4.92
bris01	40	30	bris	154	-1.22
bris01	41	73	bris	159	12.80
bris01	42	3	bris	150	-1.22
bris01	43	90	bris	151	9.80
bris01	44	87	bris	152	0.80
bris01	45	93	bris	155	1.93
bris01	46	17	bris	145	7.62
bris01	47	13	bris	142	-3.75
bris01	48	7	bris	141	-2.72
bris01	49	87	bris	148	1.88
bris01	50	93	bris	156	-7.69
bris01	51	90	bris	160	4.44
bris01	52	100	bris	147	16.56
bris01	53	90	bris	144	3.70
bris01	54	50	bris	149	-4.91
bris01	55	97	bris	180	-1.41
bris01	56	90	bris	176	4.53
bris01	57	0	bris	169	0.53
bris01	58	3	bris	170	1.42
bris01	59	0	bris	177	5.49
bris01	60	87	bris	167	4.13
bris01	61	0	bris	178	-1.25
bris01	62	7	bris	173	-1.67
bris01	63	60	bris	175	7.63
bris01	64	50	bris	164	-2.23
bris01	65	7	bris	166	-2.96
bris01	66	0	bris	161	-3.58
bris01	67	97	bris	179	7.32
bris01	68	7	bris	165	-9.96
bris01	69	0	bris	174	10.69
bris01	70	90	bris	172	0.96
bris01	71	0	bris	162	15.03
bris01	72	90	bris	171	3.78
bris02	1	0	bris	101	-1.25
bris02	2	0	bris	118	5.60
bris02	3	0	bris	114	0.88
bris02	4	90	bris	120	3.76
bris02	5	3	bris	109	-11.34
bris02	6	80	bris	107	10.92
bris02	7	100	bris	103	7.55
bris02	8	93	bris	116	-0.75
bris02	9	0	bris	117	-17.41
bris02	10	0	bris	105	9.02
bris02	11	100	bris	119	6.78
bris02	12	97	bris	108	-9.84
bris02	13	3	bris	102	18.35
bris02	14	0	bris	106	-7.70
bris02	15	93	bris	104	-11.83
bris02	16	87	bris	111	1.03
bris02	17	100	bris	112	10.33
bris02	18	3	bris	110	-9.97
bris02	19	90	bris	115	-11.59
bris02	20	93	bris	123	-1.98
bris02	21	77	bris	131	-7.37
bris02	22	90	bris	129	2.45
bris02	23	97	bris	127	-6.68
bris02	24	3	bris	121	-19.66
bris02	25	0	bris	125	-1.03
bris02	26	0	bris	138	10.38
bris02	27	27	bris	128	-3.58
bris02	28	0	bris	130	9.08
bris02	29	0	bris	137	0.90
bris02	30	0	bris	133	2.48
bris02	31	17	bris	122	9.16
bris02	32	30	bris	134	-1.62
bris02	33	93	bris	124	-6.58
bris02	34	97	bris	139	-4.51
bris02	35	80	bris	132	-10.28
bris02	36	93	bris	140	3.19
bris02	37	97	bris	135	3.80
bris02	38	0	bris	126	0.20
bris02	39	77	bris	136	-10.06
bris02	40	87	bris	152	1.60
bris02	41	90	bris	151	-1.50
bris02	42	0	bris	158	-4.43
bris02	43	100	bris	147	-18.24
bris02	44	90	bris	144	-4.66
bris02	45	7	bris	153	6.05
bris02	46	87	bris	148	-5.70
bris02	47	90	bris	160	-1.24
bris02	48	93	bris	155	-1.09
bris02	49	20	bris	146	5.70
bris02	50	0	bris	157	2.32
bris02	51	50	bris	149	-4.31
bris02	52	13	bris	142	18.02
bris02	53	30	bris	154	-9.43
bris02	54	93	bris	156	-19.65
bris02	55	7	bris	141	0.46
bris02	56	17	bris	145	-18.88
bris02	57	3	bris	150	-10.18
bris02	58	93	bris	143	-6.17
bris02	59	73	bris	159	22.74
bris02	60	7	bris	166	1.00
bris02	61	60	bris	175	-4.55
bris02	62	97	bris	179	25.68
bris02	63	0	bris	169	12.32
bris02	64	0	bris	177	0.26
bris02	65	83	bris	163	-2.67
bris02	66	0	bris	162	3.04
